Authors;Year;Paper ID;Title;Abstract
J. Schwiedrzik and U. Wolfram and P. Zysset;2013;fb18768a144f7f4dd3ca48a8d76e6f5faaf55ad2;A generalized anisotropic quadric yield criterion and its application to bone tissue at multiple length scales;Nonlinear computational analysis of materials showing elasto-plasticity or damage relies on knowledge of their yield behavior and strengths under complex stress states. In this work, a generalized anisotropic quadric yield criterion is proposed that is homogeneous of degree one and takes a convex quadric shape with a smooth transition from ellipsoidal to cylindrical or conical surfaces. If in the case of material identification, the shape of the yield function is not known a priori, a minimization using the quadric criterion will result in the optimal shape among the convex quadrics. The convexity limits of the criterion and the transition points between the different shapes are identified. Several special cases of the criterion for distinct material symmetries such as isotropy, cubic symmetry, fabric-based orthotropy and general orthotropy are presented and discussed. The generality of the formulation is demonstrated by showing its degeneration to several classical yield surfaces like the von Mises, Drucker–Prager, Tsai–Wu, Liu, generalized Hill and classical Hill criteria under appropriate conditions. Applicability of the formulation for micromechanical analyses was shown by transformation of a criterion for porous cohesive-frictional materials by Maghous et al. In order to demonstrate the advantages of the generalized formulation, bone is chosen as an example material, since it features yield envelopes with different shapes depending on the considered length scale. A fabric- and density-based quadric criterion for the description of homogenized material behavior of trabecular bone is identified from uniaxial, multiaxial and torsional experimental data. Also, a fabric- and density-based Tsai–Wu yield criterion for homogenized trabecular bone from in silico data is converted to an equivalent quadric criterion by introduction of a transformation of the interaction parameters. Finally, a quadric yield criterion for lamellar bone at the microscale is identified from a nanoindentation study reported in the literature, thus demonstrating the applicability of the generalized formulation to the description of the yield envelope of bone at multiple length scales.
U. Wolfram and Thomas G. Gross and D. Pahr and J. Schwiedrzik and H. Wilke and P. Zysset;2012;34df9f7b48dcbea0ecdc17ad303691b7d02795bd;Fabric-based Tsai-Wu yield criteria for vertebral trabecular bone in stress and strain space.;
André Gutiérrez Marty and P. Barbone and E. Morgan;2023;29c879fd55e949fe34a7cad48e9b4758c7af88b3;Multiscale theoretical model shows that aging-related mechanical degradation of cortical bone is driven by microstructural changes in addition to porosity.;
D. Garcia and P. Zysset and M. Charlebois and A. Curnier;2009;580650f41f6c9c617ec634a94bc7f7c559bda078;A three-dimensional elastic plastic damage constitutive law for bone tissue;Motivated by mechanical analysis of bones and bone-implant systems, a 3D constitutive law describing the macroscopic mechanical behaviour of both cortical and trabecular bone in cyclic (not fatigue) overloads is developed. The proposed model which mathematical formulation is established within the framework of generalized standard materials accounts for three distinct material evolution modes where elastic, plastic and damage aspects are closely related. The anisotropic elasticity of bone is described by a morphology-based model and distinct damage behaviour in tension and compression by a halfspacewise generalized Hill criterion. The plastic criterion is based on the intact elastic compliance tensor. The algorithm applies three distinct projections based on the relationship between the internal variables and criteria. Their respective consistent tangent operators are presented. Numerical resolutions of several boundary value problems and a biomechanical application are presented to illustrate the potential of the constitutive model and demonstrate the expected quadratic convergence of the algorithm.
B. Helgason and E. Perilli and E. Schileo and F. Taddei and S. Brynjólfsson and M. Viceconti;2008;0b01d812426bd13ce8d8bd9f762ba9f4dd10d428;Mathematical relationships between bone density and mechanical properties: a literature review.;
Guoyu Yang and J. Kabel and B. van Rietbergen and A. Odgaard and R. Huiskes and Stephen C. Cown;1998;2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a;The Anisotropic Hooke's Law for Cancellous Bone and Wood;A method of data analysis for a set of elastic constant measurements is applied to data bases for wood and cancellous bone. For these materials the identification of the type of elastic symmetry is complicated by the variable composition of the material. The data analysis method permits the identification of the type of elastic symmetry to be accomplished independent of the examination of the variable composition. This method of analysis may be applied to any set of elastic constant measurements, but is illustrated here by application to hardwoods and softwoods, and to an extraordinary data base of cancellous bone elastic constants. The solid volume fraction or bulk density is the compositional variable for the elastic constants of these natural materials. The final results are the solid volume fraction dependent orthotropic Hooke's law for cancellous bone and a bulk density dependent one for hardwoods and softwoods.
F. Sabet and Ahmad Raeisi Najafi and E. Hamed and I. Jasiuk;2016;ac7b39c07bdcd933f9801e741b1dead07fe23022;Modelling of bone fracture and strength at different length scales: a review;In this paper, we review analytical and computational models of bone fracture and strength. Bone fracture is a complex phenomenon due to the composite, inhomogeneous and hierarchical structure of bone. First, we briefly summarize the hierarchical structure of bone, spanning from the nanoscale, sub-microscale, microscale, mesoscale to the macroscale, and discuss experimental observations on failure mechanisms in bone at these scales. Then, we highlight representative analytical and computational models of bone fracture and strength at different length scales and discuss the main findings in the context of experiments. We conclude by summarizing the challenges in modelling of bone fracture and strength and list open topics for scientific exploration. Modelling of bone, accounting for different scales, provides new and needed insights into the fracture and strength of bone, which, in turn, can lead to improved diagnostic tools and treatments of bone diseases such as osteoporosis.
L. Breiman;2001;8e0be569ea77b8cb29bb0e8b031887630fe7a96c;Random Forests;Random forests are a combination of tree predictors such that each tree depends on the values of a random vector sampled independently and with the same distribution for all trees in the forest. The generalization error for forests converges a.s. to a limit as the number of trees in the forest becomes large. The generalization error of a forest of tree classifiers depends on the strength of the individual trees in the forest and the correlation between them. Using a random selection of features to split each node yields error rates that compare favorably to Adaboost (Y. Freund & R. Schapire, Machine Learning: Proceedings of the Thirteenth International conference, ***, 148–156), but are more robust with respect to noise. Internal estimates monitor error, strength, and correlation and these are used to show the response to increasing the number of features used in the splitting. Internal estimates are also used to measure variable importance. These ideas are also applicable to regression.
Hang Ping and W. Wagermaier and Nils Horbelt and E. Scoppola and Chenghao Li and Peter Werner and Z. Fu and P. Fratzl;2022;a4cf7e25558c1b49579dea7ad9bf712f40ee9bba;Mineralization generates megapascal contractile stresses in collagen fibrils;During bone formation, collagen fibrils mineralize with carbonated hydroxyapatite, leading to a hybrid material with excellent properties. Other minerals are also known to nucleate within collagen in vitro. For a series of strontium- and calcium-based minerals, we observed that their precipitation leads to a contraction of collagen fibrils, reaching stresses as large as several megapascals. The magnitude of the stress depends on the type and amount of mineral. Using in-operando synchrotron x-ray scattering, we analyzed the kinetics of mineral deposition. Whereas no contraction occurs when the mineral deposits outside fibrils only, intrafibrillar mineralization generates fibril contraction. This chemomechanical effect occurs with collagen fully immersed in water and generates a mineral-collagen composite with tensile fibers, reminiscent of the principle of reinforced concrete. Description Key aspects of bone mineralization Bone is a hierarchical material consisting of a organic fibers, mainly in the form of collagen, that are mineralized with inorganic crystals, primarily hydroxyapatite. It is this structure that gives bone its remarkable combination of strength and toughness. Ping et al. examined the deposition of minerals on both the outside and inside of the fibers over time (see the Perspective by Nudelman and Kröger). They found that large contractile forces occur within the collagen during intrafibrillar mineralization regardless of the mineral type, thus giving bone its unusual combination of mechanical properties. This feature is analogous to the reinforcement of concrete using prestressed steel rods. —MSL In bone, the precipitation of various minerals inside collagen causes contraction of the fibrils, thus reinforcing them.
R. Huiskes;2000;5b3b9db380327b1f5a91d307102a3682d4f9d4e8;If bone is the answer, then what is the question?;"In the 19th century, several scientists attempted to relate bone trabecular morphology to its mechanical, load‐bearing function. It was suggested that bone architecture was an answer to requirements of optimal stress transfer, pairing maximal strength to minimal weight, according to particular mathematical design rules. Using contemporary methods of analysis, stress transfer in bones was studied and compared with anatomical specimens, from which it was hypothesised that trabecular architecture is associated with stress trajectories. Others focused on the biological processes by which trabecular architectures are formed and on the question of how bone could maintain the relationship between external load and architecture in a variable functional environment. Wilhelm Roux introduced the principle of functional adaptation as a self‐organising process based in the tissues. Julius Wolff, anatomist and orthopaedic surgeon, entwined these 3 issues in his book The Law of Bone Remodeling (translation), which set the stage for biomechanical research goals in our day. ‘Wolff's Law’ is a question rather than a law, asking for the requirements of structural optimisation. In this article, based on finite element analysis (FEA) results of stress transfer in bones, it is argued that it was the wrong question, putting us on the wrong foot. The maximal strength/minimal weight principle does not provide a rationale for architectural formation or adaptation; the similarity between trabecular orientation and stress trajectories is circumstantial, not causal. Based on computer simulations of bone remodelling as a regulatory process, governed by mechanical usage and orchestrated by osteocyte mechanosensitivity, it is shown that Roux's paradigm, conversely, is a realistic proposition. Put in a quantitative regulatory context, it can predict both trabecular formation and adaptation. Hence, trabecular architecture is not an answer to Wolff's question, in the sense of this article's title. There are no mathematical optimisation rules for bone architecture; there is just a biological regulatory process, producing a structure adapted to mechanical demands by the nature of its characteristics, adequate for evolutionary endurance. It is predicted that computer simulation of this process can help us to unravel its secrets."
P. Zysset and R. Goulet and S. Hollister;1998;dea8075cc7fa43811b84cff0fde8ee2cc42e78eb;A global relationship between trabecular bone morphology and homogenized elastic properties.;An alternative concept of the relationship between morphological and elastic properties of trabecular bone is presented and applied to human tissue from several anatomical locations using a digital approach. The three-dimensional morphology of trabecular bone was assessed with a microcomputed tomography system and the method of directed secants as well as the star volume procedure were used to compute mean intercept length (MIL) and average bone length (ABL) of 4 mm cubic specimens. Assuming isotropic elastic properties for the trabecular tissue, the general elastic tensors of the bone specimens were determined using the homogenization method and the closest orthotropic tensors were calculated with an optimization algorithm. The assumption of orthotropy for trabecular bone was found to improve with specimen size and hold within 6.1 percent for a 4 mm cube size. A strong global relationship (r2 = 0.95) was obtained between fabric and the orthotropic elastic tensor with a minimal set of five constants. Mean intercept length and average bone length provided an equivalent power of prediction. These results support the hypothesis that the elastic properties of human trabecular bone from an arbitrary anatomical location can be estimated from an approximation of the anisotropic morphology and a prior knowledge of tissue properties.
D. Burr;2019;784bbb1bf40f2d003a13700fff0977e372ec11d9;Stress concentrations and bone microdamage: John Currey's contributions to understanding the initiation and arrest of cracks in bone.;
E. Seeman and P. Delmas;2006;d5255aa2d8c36001a569f0e79dac3a1c335258af;Bone quality--the material and structural basis of bone strength and fragility.;This review discusses advances in knowledge regarding the composition and structure of bone, the modeling and remodeling of bone, the formation of bone during growth and its reconstruction in adults, and how age-related abnormalities in these processes compromise the composition and structure of bone.
M. Kerschnitzki and Philip Kollmannsberger and M. Burghammer and G. Duda and R. Weinkamer and W. Wagermaier and P. Fratzl;2013;227e5a4a90c5c21069ddccf09a6302052b52d036;Architecture of the osteocyte network correlates with bone material quality;In biological tissues such as bone, cell function and activity crucially depend on the physical properties of the extracellular matrix which the cells synthesize and condition. During bone formation and remodeling, osteoblasts get embedded into the matrix they deposit and differentiate to osteocytes. These cells form a dense network throughout the entire bone material. Osteocytes are known to orchestrate bone remodeling. However, the precise role of osteocytes during mineral homeostasis and their potential influence on bone material quality remains unclear. To understand the mutual influence of osteocytes and extracellular matrix, it is crucial to reveal their network organization in relation to the properties of their surrounding material. Here we visualize and topologically quantify the osteocyte network in mineralized bone sections with confocal laser scanning microscopy. At the same region of the sample, synchrotron small‐angle X‐ray scattering is used to determine nanoscopic bone mineral particle size and arrangement relative to the cell network. Major findings are that most of the mineral particles reside within less than a micrometer from the nearest cell network channel and that mineral particle characteristics depend on the distance from the cell network. The architecture of the network reveals optimization with respect to transport costs between cells and to blood vessels. In conclusion, these findings quantitatively show that the osteocyte network provides access to a huge mineral reservoir in bone due to its dense organization. The observed correlation between the architecture of osteocyte networks and bone material properties supports the hypothesis that osteocytes interact with their mineralized vicinity and thus, participate in bone mineral homeostasis.
Gwendolen C. Reilly and J. Currey;2000;d83ad588f659b4a5723e386b3bc439f0cf5689a6;The effects of damage and microcracking on the impact strength of bone.;
J. Nyman and M. Reyes and Xiaodun Wang;2005;040a0bb36045fe21fdcc8da1a1937de0615b9bd8;Effect of ultrastructural changes on the toughness of bone.;
Dan Wu and P. Isaksson and S. Ferguson and C. Persson;2018;0c4b6dd2bdc9a5cfc525029423ccbbb8a6431b65;Young's modulus of trabecular bone at the tissue level: A review.;
P. R. Townsend and Robert M. Rose and E. Radin;1975;9ee52726ba738ce07b114f0b94e415876b59da60;Buckling studies of single human trabeculae.;
C. Hellmich and Niketa Ukaj and B. Smeets and H. Van Oosterwyck and N. Filipovic and Luis Zelaya-Lainez and Johannes Kalliauer and S. Scheiner;2022;db0d7fa9a7e0c5b0ebedc1aaf108b723ff4ab514;Hierarchical Biomechanics: Concepts, Bone as Prominent Example, and Perspectives Beyond;"Biological materials and systems are hierarchically organized.The main motivation for hierarchical biomechanics is that the wide variability of mechanical properties encountered at the macroscopic scale may be traced back to just a few universal. i.e. tissue-invariant, mechanical properties of elementary components at a sufficiently small scale (such as collagen, elastin, and water in case of soft tissues; complemented by hydroxyapatite in case of hard tissues), and to the nano and microstructures which the latter build up. This challenging task requires a physically rigorous and mathematically sound basis, as provided by Finite Element and Fast Fourier Transform methods, as well as by continuum micromechanics resting on (semi-)analytical solutions for Eshelby-type matrix-inclusion problems. Corresponding numerical and analytical mathematical models have undergone diligent experimental validation, by means of data stemming from a variety of biophysical, biochemical, and biomechanical testing methods, such as light and electron microscopy, ultrasonic testing and scanning acoustic microscopy, as well as physico-chemical tests associated with dehydration, demineralization, decollagenization, ashing, and weighing in air and fluid. While elastic scale transition and homogenization methods have attained a high maturity level, the hierarchical nature of dissipative (i.e. viscous or strength) properties is still a vibrant field of research. This applies even more to hierarchical approaches elucidating the interface between biological cells and extracellular matrices, and to the highly undiscovered mechanics unfolding within biological cells."
Wen Yang and M. Meyers and R. Ritchie;2019;d1d67ea5197642811dda06a4e8b40d5085b02884;Structural architectures with toughening mechanisms in Nature: A review of the materials science of Type-I collagenous materials;
P. Fratzl;2008;97b5bbd4d8164a7157629e858c12040dd612cdf0;Collagen : structure and mechanics;
N. Reznikov and R. Shahar and S. Weiner;2014;f824b94b7979736b9c96ae3a649ac84104c3b13d;Bone hierarchical structure in three dimensions.;
E. Zimmermann and R. Ritchie;2020;b257fac6b3b5dcf92cbae0901ffe7249d3dad884;Human Cortical Bone as a Structural Material;
E. Zimmermann and R. Ritchie;2015;cbd737ccb695e51721d4324c95501f75b10a7e8f;Bone as a Structural Material;As one of the most important natural materials, cortical bone is a composite material comprising assemblies of tropocollagen molecules and nanoscale hydroxyapatite mineral crystals, forming an extremely tough, yet lightweight, adaptive and multi‐functional material. Bone has evolved to provide structural support to organisms, and therefore its mechanical properties are vital physiologically. Like many mineralized tissues, bone can resist deformation and fracture from the nature of its hierarchical structure, which spans molecular to macroscopic length‐scales. In fact, bone derives its fracture resistance with a multitude of deformation and toughening mechanisms that are active at most of these dimensions. It is shown that bone's strength and ductility originate primarily at the scale of the nano to submicrometer structure of its mineralized collagen fibrils and fibers, whereas bone toughness is additionally generated at much larger, micro‐ to near‐millimeter, scales from crack‐tip shielding associated with interactions between the crack path and the microstructure. It is further shown how the effectiveness with which bone's structural features can resist fracture at small to large length‐scales can become degraded by biological factors such as aging and disease, which affect such features as the collagen cross‐linking environment, the homogeneity of mineralization, and the density of the osteonal structures.
Xiaodun Wang;2012;afd7a72662189fc58fc1a736c9ee86a33908ed27;Cortical Bone Mechanics and Composition: Effects of Age and Gender;Bone fragility fractures are a major health care concern for postmenopausal women and the elderly of both genders. Postmenopausal and age-related osteoporosis/osteopenia is a major contributor to the risk of such fractures. Since cortical bone is the major load bearing tissue, the effects of age, gender, and pathological changes on the mechanical competence of cortical bone tissues have been of great interest to bone researchers. This chapter provides the information on the current understanding of the micro/ultrastructural and compositional properties and their contribution to the bulk mechanical (elastic, plastic, and viscous) behavior of cortical bone tissues. In addition, the effect of age and gender on the structural/compositional properties and their impacts on the mechanical competence of cortical bone are also discussed
Q. Grimal and K. Raum and A. Gerisch and P. Laugier;2011;f8c2eb6866be1ff28af8dafab5d88a20917d1471;A determination of the minimum sizes of representative volume elements for the prediction of cortical bone elastic properties;At its highest level of microstructural organization—the mesoscale or millimeter scale—cortical bone exhibits a heterogeneous distribution of pores (Haversian canals, resorption cavities). Multi-scale mechanical models rely on the definition of a representative volume element (RVE). Analytical homogenization techniques are usually based on an idealized RVE microstructure, while finite element homogenization using high-resolution images is based on a realistic RVE of finite size. The objective of this paper was to quantify the size and content of possible cortical bone mesoscale RVEs. RVE size was defined as the minimum size: (1) for which the apparent (homogenized) stiffness tensor becomes independent of the applied boundary conditions or (2) for which the variance of elastic properties for a set of microstructure realizations is sufficiently small. The field of elastic coefficients and microstructure in RVEs was derived from one acoustic microscopy image of a human femur cortical bone sample with an overall porosity of 8.5%. The homogenized properties of RVEs were computed with a finite element technique. It was found that the size of the RVE representative of the overall tissue is about 1.5 mm. Smaller RVEs (~0.5 mm) can also be considered to estimate local mesoscopic properties that strongly depend on the local pores volume fraction. This result provides a sound basis for the application of homogenization techniques to model the heterogeneity of cortical microstructures. An application of the findings to estimate elastic properties in the case of a porosity gradient is briefly presented
D. Vashishth;2007;3ea6b1eaf95453cfe05739d1b7641274c47479cb;Hierarchy of Bone Microdamage at Multiple Length Scales.;
I. Fleps and H. Bahaloo and P. Zysset and S. Ferguson and H. Pálsson and B. Helgason;2020;9d85868d7cb5286ad044a190775f5121d6af9c5b;Empirical relationships between bone density and ultimate strength: A literature review.;
S. Eswaran and Atul Gupta and Mark F. Adams and T. Keaveny;2005;fc0be9421a9067280ae21b51e87b06e46e764917;Cortical and Trabecular Load Sharing in the Human Vertebral Body;The biomechanical role of the vertebral cortical shell remains poorly understood. Using high‐resolution finite element modeling of a cohort of elderly vertebrae, we found that the biomechanical role of the shell can be substantial and that the load sharing between the cortical and trabecular bone is complex. As a result, a more integrative measure of the trabecular and cortical bone should improve noninvasive assessment of fracture risk and treatments.
E. Novitskaya and Po-Yu Chen and E. Hamed and Jun Li and V. Lubarda and I. Jasiuk and J. McKittrick;2011;2487941be2c390f9b7980cd96c9d484b0da3972a;Recent advances on the measurement and calculation of the elastic moduli of cortical and trabecular bone: A review;In this review, recent advances on the measurement and modeling of elastic properties of cortical and trabecular bone are presented. Bone is a multifunctional material which among its other functions serves as a support for other tissues in the body. As a structural material it is stiff, strong, tough, lightweight and is adaptable. Its excellent mechanical properties are due to its complex, composite and hierarchical structure. In this paper, we outline the experimental approaches that have been used to characterize bone's structure, composition and elastic properties at several different length scales. Then, we discuss different modeling approaches that have been employed to compute bone’s elastic moduli. We conclude by discussing the challenges and open issues in this area. Analysis of bone is of importance in orthopedics. Also, gained knowledge on bone can be used by engineers to design new bioinspired composite materials for a wide range of engineering applications.
B. Hoffmeister and S. R. Smith and S. M. Handley and J. Rho;2000;c3f0084661b7d63c8ba7f067ec5c36d19be38bb4;Anisotropy of Young's modulus of human tibial cortical bone;The anisotropy of Young's modulus in human cortical bone was determined for all spatial directions by performing coordinate rotations of a 6 by 6 elastic stiffness matrix. The elastic stiffness coefficients were determined experimentally from ultrasonic velocity measurements on 96 samples of normal cortical bone removed from the right tibia of eight human cadavers. The following measured values were used for our analysis: c11=19.5 GPa, c22=20.1 GPa, c33=30.9 GPa, c44=5.72 GPa, c55=5.17 GPa, c66=4.05 GPa, c23=12.5 GPa. The remaining coefficients were determined by assuming that the specimens possessed at least an orthorhombic elastic symmetry, and further assuming that c13=c23, c12=c11–2c66. Our analysis revealed a substantial anisotropy in Young's modulus in the plane containing the long axis of the tibia, with maxima of 20.9 GPa parallel to the long axis, and minima of 11.8 GPa perpendicular to this axis. A less pronounced anisotropy was observed in the plane perpendicular to the long axis of the tibia. To display our results for the full three-dimensional anisotropy of cortical bone, a closed surface was used to represent Young's modulus in all spatial directions
E. Morgan and G. Unnikrisnan and A. Hussein;2018;a169125cebb03ba7d2bb7a6ffa25b4106fcdfc55;Bone Mechanical Properties in Healthy and Diseased States.;The mechanical properties of bone are fundamental to the ability of our skeletons to support movement and to provide protection to our vital organs. As such, deterioration in mechanical behavior with aging and/or diseases such as osteoporosis and diabetes can have profound consequences for individuals' quality of life. This article reviews current knowledge of the basic mechanical behavior of bone at length scales ranging from hundreds of nanometers to tens of centimeters. We present the basic tenets of bone mechanics and connect them to some of the arcs of research that have brought the field to recent advances. We also discuss cortical bone, trabecular bone, and whole bones, as well as multiple aspects of material behavior, including elasticity, yield, fracture, fatigue, and damage. We describe the roles of bone quantity (e.g., density, porosity) and bone quality (e.g., cross-linking, protein composition), along with several avenues of future research.
G. Osterhoff and E. Morgan and S. Shefelbine and L. Karim and L. McNamara and P. Augat;2016;603a7759914ea695af6fbf373340e4a2e5d1c049;Bone mechanical properties and changes with osteoporosis.;
Ghislain Maquer and S. Musy and Jasmin Wandel and Thomas G. Gross and P. Zysset;2015;12a6cd79f8d476fb2263c6f578330b2d1e9c4f9f;Bone Volume Fraction and Fabric Anisotropy Are Better Determinants of Trabecular Bone Stiffness Than Other Morphological Variables;As our population ages, more individuals suffer from osteoporosis. This disease leads to impaired trabecular architecture and increased fracture risk. It is essential to understand how morphological and mechanical properties of the cancellous bone are related. Morphology‐elasticity relationships based on bone volume fraction (BV/TV) and fabric anisotropy explain up to 98% of the variation in elastic properties. Yet, other morphological variables such as individual trabeculae segmentation (ITS) and trabecular bone score (TBS) could improve the stiffness predictions. A total of 743 micro–computed tomography (μCT) reconstructions of cubic trabecular bone samples extracted from femur, radius, vertebrae, and iliac crest were analyzed. Their morphology was assessed via 25 variables and their stiffness tensor ( CFE ) was computed from six independent load cases using micro finite element (μFE) analyses. Variance inflation factors were calculated to evaluate collinearity between morphological variables and decide upon their inclusion in morphology‐elasticity relationships. The statistically admissible morphological variables were included in a multiple linear regression model of the dependent variable CFE . The contribution of each independent variable was evaluated (ANOVA). Our results show that BV/TV is the best determinant of CFE (r2adj = 0.889), especially in combination with fabric anisotropy (r2adj = 0.968). Including the other independent predictors hardly affected the amount of variance explained by the model (r2adj = 0.975). Across all anatomical sites, BV/TV explained 87% of the variance of the bone elastic properties. Fabric anisotropy further described 10% of the bone stiffness, but the improvement in variance explanation by adding other independent factors was marginal (<1%). These findings confirm that BV/TV and fabric anisotropy are the best determinants of trabecular bone stiffness and show, against common belief, that other morphological variables do not bring any further contribution. These overall conclusions remain to be confirmed for specific bone diseases and postelastic properties. © 2015 American Society for Bone and Mineral Research.
Thomas G. Gross and D. Pahr and P. Zysset;2012;1ccaf0094701414bcce6c046654e8fc5e44f2b45;Morphology–elasticity relationships using decreasing fabric information of human trabecular bone from three major anatomical locations;With improving clinical CT scanning technology, the accuracy of CT-based finite element (FE) models of the human skeleton may be ameliorated by an enhanced description of apparent level bone mechanical properties. Micro-finite element (μFE) modeling can be used to study the apparent elastic behavior of human cancellous bone. In this study, samples from the femur, radius and vertebral body were investigated to evaluate the predictive power of morphology–elasticity relationships and to compare them across different anatomical regions. μFE models of 701 trabecular bone cubes with a side length of 5.3 mm were analyzed using kinematic boundary conditions. Based on the FE results, four morphology–elasticity models using bone volume fraction as well as full, limited or no fabric information were calibrated for each anatomical region. The 5 parameter Zysset–Curnier model using full fabric information showed excellent predictive power with coefficients of determination (\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${r_{\rm adj}^2}$$\end{document}) of 0.98, 0.95 and 0.94 of the femur, radius and vertebra data, respectively, with mean total norm errors between 14 and 20%. A constant orthotropy model and a constant transverse isotropy model, where the elastic anisotropy is defined by the model parameters, yielded coefficients of determination between 0.90 and 0.98 with total norm errors between 16 and 25%. Neglecting fabric information and using an isotropic model led to \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${r_{\rm adj}^2}$$\end{document} between 0.73 and 0.92 with total norm errors between 38 and 49%. A comparison of the model regressions revealed minor but significant (p<0.01) differences for the fabric–elasticity model parameters calibrated for the different anatomical regions. The proposed models and identified parameters can be used in future studies to compute the apparent elastic properties of human cancellous bone for homogenized FE models
P. Zysset;2003;d295b1155a1a06096aa0ab763857afc0dfe56855;A review of morphology-elasticity relationships in human trabecular bone: theories and experiments.;
A. Ascenzi and P. Baschieri and A. Benvenuti;1990;5e02ffbfb161adfa5cb0308e0f8dcbd22f7147fd;The bending properties of single osteons.;
A. Ascenzi and P. Baschieri and A. Benvenuti;1994;398a34459d7476628d7faeb9e4c97a05df01d31d;The torsional properties of single selected osteons.;
A. Ascenzi and E. Bonucci;1968;31d454835d9994d12818d7dbeb0f8191dd4b4f11;The compressive properties of single osteons;The compressive strength of single human osteons has been investigated in specially prepared samples using a microtesting machine equipped with a microwave micrometer. The main conclusions which can be drawn from our results are: (1) In agreement with Gebhardt's theories the ultimate compressive strength is greatest for osteons having transversally oriented fiber bundles, lowest for osteons having longitudinally oriented fiber bundles, and intermediate for osteons whose fiber bundles change direction in successive lamellae through an angle of about 90°. (2) The modulus of elasticity is greatest in osteons with transversally oriented fiber bundles. (3) With all three types of osteon the stress‐strain curves for fully calcified osteons are markedly different from those for osteons with low calcium content, the modulus of elasticity being much lower in osteons of the latter type. (4) Age seems to have no measurable influence on the compressive properties of osteons. (5) The comparison of compressive properties in single osteons and in macroscopic bone samples seems to support the view that the osteon is actually the mechanical unit of compact bone. (6) Fracture in osteon samples starts with microscopic fissures induced by shearing. (7) In every case these fissures form an angle of roughly 30°–35° with the axis of the osteon and do not appear to vary with the microscopic osteon structures. (8) Electron microscopy reveals distortion of bone crystals and breaking of collagen fibrils at the edges of the fissures.
A. Ascenzi and E. Bonucci;1967;4a0c1960d75bc8a2b7a4d6cb166cf2ea263ceb65;The tensile properties of single osteons;The ultimate tensile strength and modulus of elasticity of individual osteons from human and ox compact bone were determined with a specially designed microwave extensimeter. The results were related to the degree of calcification and the orientation of collagen fiber‐bundles in successive lamellae of the osteons. The following conclusions were made: (1) When osteon specimens are dried, their tensile strength and modulus of elasticity increase, while their percent elongation under tension falls. (2) In the osteon samples tested wet, the degree of calcification induces an increase in the modulus of elasticity with additional amounts of calcium salts. (3) The modulus of elasticity in tension of the organic matrix corresponds to that of collagen. (4) In the osteons having a marked longitudinal arrangement of bundles of fibers in successive lamellae, the ultimate tensile strength and modulus of elasticity seem greater and the percentage elongation under tension seems lower than in osteons whose bundles in successive lamellae change through an angle of about 90°. (5) The tensile properties of osteons seem independent of the age of the subject. (6) Human and ox osteons reveal the same tensile behavior. (7) The tensile stress‐strain curves show that, even at the level of single osteons, bone behaves like a complex material, which, according to Sedlin, can be represented by a Hooke body linked in series to a Kelvin body.
A. Ascenzi and E. Bonucci;1972;1a22498b61024ad5c00d6b14e87822a7032e3b7a;The shearing properties of single osteons;The shearing strength of single human osteons has been investigated using a microtesting machine equipped with a microwave micrometer. The results Were related to the degree of calcification and the orientation of collagen fiber bundles in successive lamellae of the osteons. The following conclusions were made: (1) Osteons having a marked longitudinal spiral course of fiber bundles in successive lamellae are least able to support shearing stress. This suggests that in the other types of osteon the compactness of bone is strengthened by the lamellae having marked transversal spiral course of the fiber bundles. (2)Ultimate shearing strength and modulus of elasticity of osteons increase as calcification proceeds. (3) The shearing strength of single osteons is markedly lower than the tensile and compressive strength for samples of the same type. (4) In osteons loaded along their axis the range of elastic deformation is barely more than 1% of the length of the sample. (5) With the technical procedure used in this investigation the shearing of osteons appears to be preferentially related to the lamellar structure. In osteons loaded excentrically the portions which have slipped out have a rather irregular shape and in many cases one or two fractures occur. (6) The resistance to shearing of the cementing substance at the boundaries of the osteon may be greater than the resistance of the osteon itself.
F. Repp and Philip Kollmannsberger and A. Roschger and M. Kerschnitzki and A. Berzlanovich and G. Gruber and P. Roschger and W. Wagermaier and R. Weinkamer;2017;bbd0fe62a8a7196f1643bd83af1f04c4176be0f1;Spatial heterogeneity in the canalicular density of the osteocyte network in human osteons;
Y. Obata and H. Bale and H. Barnard and D. Parkinson and T. Alliston and Claire Acevedo;2020;e5a837916c574d61a7f650e27e721426522aa055;Quantitative and qualitative bone imaging: A review of synchrotron radiation microtomography analysis in bone research.;
Boliang Yu and R. Gauthier and C. Olivier and Julie Villanova and H. Follet and David Mitton and Françoise Peyrin;2024;4d9cc66be1dbd03a9569e1f3148458caddd2fdd0;3D quantification of the lacunocanalicular network on human femoral diaphysis through synchrotron radiation-based nanoCT.;
